Global Company Key,Data Date,Data Year - Fiscal,Ticker Symbol,Company Name,Current Assets - Total,Accounts Payable - Trade,Assets - Total,Cash,Cost of Goods Sold,Common Shares Outstanding,Long-Term Debt - Total,Depreciation and Amortization,Dividends - Total,Inventories - Total,Current Liabilities - Total,Liabilities - Total,Net Income (Loss),"Property, Plant and Equipment - Total (Net)",Retained Earnings,Receivables - Total,Sales/Turnover (Net),Stockholders Equity - Parent,Interest and Related Expense - Total,"Selling, General and Administrative Expense",Price Close - Annual - Fiscal,Standard Industry Classification Code
1045,20181231,2018,AAL,AMERICAN AIRLINES GROUP INC,8637,1773,60580,275,31365,460.611,29081,2157,188,1522,18096,60749,1412,43249,-5138,1706,44541,-169,1056,7570,32.11,4512
1050,20181231,2018,CECE,CECO ENVIRONMENTAL CORP,160.865,51.984,392.582,43.676,222.543,34.816,82.313,13.272,0,50.511,103.886,214.022,-7.121,22.2,-72.842,53.225,337.339,178.56,7.14,87.462,6.75,3564
1166,20181231,2018,ASMIY,ASM INTERNATIONAL NV,779.245,92.325,2115.739,327.335,492.188,49.319,0,61.695,49.968,196.723,222.398,236.331,179.901,221.405,2194.09,240.479,936.619,1879.408,2.823,240.259,41.382,3559
1210,20190331,2018,AIRT,AIR T INC,71.348,12.553,115.142,12.524,195.685,2.023,32.918,7.686,0,29.968,52.794,86.308,1.34,29.982,20.986,24.262,249.834,24.358,3.34,38.376,30.19,4513
1230,20181231,2018,ALK,ALASKA AIR GROUP INC,1787,132,10912,105,6193,123.194,1617,398,158,60,2942,7161,437,6781,4086,366,8264,3751,91,898,60.85,4512
1388,20181231,2018,AMR1,AMERICAN AIRLINES INC,19257,1707,70878,265,31573,0.001,28507,2106,0,1442,17121,59108,1658,42894,-5032,12421,44530,11770,1028,7341,,4512
1559,20181231,2018,AMS,AMERICAN SHARED HSPTL SERV,9.946,0.435,57.502,1.442,5.483,5.714,13.64,6.745,0,0,9.474,26.454,1.023,46.694,7.896,6.878,19.714,25.102,1.746,3.994,2.38,8090
1704,20181031,2018,AMAT,APPLIED MATERIALS INC,10747,996,17773,3440,8998,967,5309,457,694,3722,4068,10934,3313,1407,20749,2565,17253,6839,234,2997,32.88,3559
1706,20180831,2018,EPAC,ENERPAC TOOL GROUP CORP,660.9,130.838,1481.338,250.49,746.359,60.984,502.695,40.707,2.439,156.356,330.961,922.626,-21.648,90.22,992.71,187.749,1182.611,558.712,31.891,290.344,29.45,3533
1722,20181231,2018,ADM,ARCHER-DANIELS-MIDLAND CO,20588,8465,40833,1997,59219,559,7698,941,758,8813,11776,21788,1810,9953,16421,3844,64341,18981,385,2161,40.97,2070
